1425508255402,
1425508275410,60,75,102,72
1425508295413,79,57,92,89
1425508315393,49,59,97,108
1425508335402,56,65,97,150
1425508355394,48,56,96,145
1425508375401,54,42,129,152
1425508395396,63,63,131,174
1425508415392,53,52,147,197
1425508435403,45,57,149,178
1425508455405,63,64,149,166
1425508475404,43,65,145,167
1425508495391,44,71,143,160
1425508515393,51,74,134,180
1425508535405,61,76,132,177
1425508555402,58,51,132,197
1425508575391,56,46,143,195
1425508595402,62,73,152,187
1425508615402,64,66,152,181
1425508635403,60,59,138,200
1425508655401,61,57,140,205
1425508675392,67,55,147,209
1425508695405,66,79,147,197
1425508715403,86,80,144,169
1425508735403,71,59,128,184
1425508755392,49,56,155,195
1425508775406,70,54,154,202
1425508795385,66,71,155,183
1425508815406,77,89,174,179
1425508835396,92,53,155,177
1425508855395,67,45,134,185
1425508875406,65,59,128,202
1425508895391,58,49,137,196
1425508915396,79,44,146,191
1425508935392,66,46,143,194
1425508955404,62,81,148,200
1425508975396,68,89,126,195
1425508995393,59,54,119,197
1425509015395,42,69,139,198
1425509035404,74,54,168,198
1425509055405,89,68,160,190
1425509075405,78,63,140,196
1425509095402,80,63,139,197
1425509115405,55,51,147,177
1425509135391,80,46,166,186
1425509155391,69,51,154,190
1425509175392,76,85,136,209
1425509195403,75,97,130,216
1425509215394,55,88,152,186
1425509235401,55,76,159,187
1425509255392,93,49,163,178
1425509275404,107,60,156,198
1425509295401,56,95,144,198
1425509315397,44,112,137,203
1425509335386,69,76,155,179
1425509355392,73,72,161,174
1425509375402,73,64,139,198
1425509395402,58,73,123,203
1425509415403,50,36,131,195
1425509435402,71,59,123,193
1425509455405,46,82,136,195
1425509475402,75,59,129,193
1425509495404,93,56,144,190
1425509515402,47,72,172,205
1425509535401,45,88,158,181
1425509555392,53,95,140,176
1425509575402,61,48,105,192
1425509595406,52,51,139,191
1425509615391,53,58,161,203
1425509635406,68,67,166,194
1425509655394,77,85,140,205
1425509675401,88,88,137,184
1425509695396,77,74,144,191
1425509715391,61,81,130,194
1425509735391,68,101,146,204
1425509755392,89,78,171,212
1425509775393,90,66,159,201
1425509795404,75,77,149,187
